shop_id,nama_toko,username_shopee,followers,jumlah_produk,rating,rating_baik,rating_normal,rating_buruk,lokasi,official,verified,preferred_plus,response_rate,response_time_detik,cancellation_rate,deskripsi,estimasi_total_orders,estimasi_monthly_orders,estimasi_monthly_revenue_idr
12803922,"Biotalk Official Shop","biotalk.id",681942,141,4.892009,1138636,12791,2115,"KOTA JAKARTA BARAT","Ya","Tidak","Tidak",100,1965,2,"Biotalk Official Shop adalah akun resmi dari Biotalk di platform Shopee. Biotalk menyediakan produk personal care berbahan natural tanpa SLS/SLES yang aman bagi kulit Eksim, Psoriasis, dan Sensitif",9228336,256343,20507440000
107395930,"Pretty Mart","tmall1688.id",680998,63,4.77491,1451971,51910,12409,"KOTA JAKARTA BARAT","Tidak","Ya","Ya",100,42,0,"?",12130320,336953,26956240000
33221984,"Eileen Grace Official Shop","eileengrace.id",658310,13,4.903209,243649,2303,499,"KOTA BEKASI","Ya","Tidak","Tidak",99,979,0,"Eileen Grace Official Shop adalah akun resmi dari Eileen Grace di platform Shopee. 
Operational Hours : Senin – Jumat (09.00-17.00)
Eileen Grace merupakan merk perawatan kulit terbaik dan terlaris di",1971608,54767,4381360000
324706771,"BREYLEE Indonesia Official Shop","breyleeindonesia",652841,129,4.866387,808247,11561,2052,"KOTA JAKARTA BARAT","Ya","Tidak","Tidak",100,101,0,"Breylee Indonesia Official Shop merupakan akun resmi dari BREYLEE di platform shopee dan menyediakan produk skincare wajah dengan BPOM.
Jam Operational Toko :  Senin - Sabtu 09.00 - 18.00 (Khusus Sabt",6574880,182636,14610880000
50708029,"Kenvue Official Shop","kenvueid",638492,543,4.91262,1757344,17794,5632,"KOTA BEKASI","Ya","Tidak","Tidak",100,9,0,"Johnson & Johnson Official Shop adalah akun resmi Johnson & Johnson Indonesia di platform Shopee. 
Johnson & Johnson Indonesia berdiri sejak tahun 1973 dan bergerak di empat sektor bisnis yang  berbed",14246160,395727,31658160000
108371280,"Morris Parfume Official Shop","morrisparfume",636008,242,4.840008,989960,21829,5111,"KAB. TANGERANG","Ya","Tidak","Tidak",100,28,0,"Selamat datang di Morris Parfume Official Shop 
Akun resmi Morris Parfume di Shopee 

 Jam Operasional:
Senin–Jumat 08.00–17.00 | Sabtu–Minggu 09.00–12.00
(Tanggal merah ❌ tidak ada pengiriman)",8135200,225978,18078240000
570849887,"ISWHITE Official Shop","iswhite.official",629393,98,4.869955,366715,5008,738,"KOTA JAKARTA TIMUR","Ya","Tidak","Tidak",100,4039,0,"ISWHITE Official Shop adalah akun resmi dari ISWHITE di platform Shopee
Operational Hours: 08.00 - 01.00

Pengiriman :
Senin - Sabtu 
Hari Minggu / tanggal merah tidak ada pengiriman",2979688,82769,6621520000
742861408,"PW PERFECT WHITE Official Store","perfectwhiteofficial",614103,81,4.826662,697050,14324,1964,"KAB. SLEMAN","Ya","Tidak","Tidak",100,270,0,"PW Perfect White Official Store adalah akun resmi dari Perfect White di platform Shopee.
BPOM Certified, Formulated by Dermatologyst.
Local Brand Indonesia",5706704,158520,12681600000
129461339,"Natur-E Official Shop","natureofficial",604331,207,4.893337,579986,6227,1327,"KOTA TANGERANG","Ya","Tidak","Tidak",100,20,0,"Natur-e Official Shop adalah akun resmi dari Natur-e di platform Shopee",4700320,130564,10445120000
78838801,"NATURE REPUBLIC OFFICIAL","naturerepublicofficialstore",603163,92,4.9371,641994,3450,419,"KOTA JAKARTA PUSAT","Ya","Tidak","Tidak",98,2941,0,"Nature Republic Official Store adalah akun resmi Nature Republic di platform Shopee
Jam Operasional : 09.00 s/d 17.00 
Pengiriman Senin - Jumat
Sabtu-Minggu dan Hari Libur Tidak ada pengiriman tetapi",5166904,143525,11482000000
230677444,"Cressindo Official Shop","cressindoofficial",603107,87,4.824154,791625,17260,3539,"KOTA JAKARTA UTARA","Ya","Tidak","Tidak",100,761,0,"Welcome to Our Store ❤  (  BPOM & HALAL Certified )
 Cressindo Official Shop adalah akun resmi dari Cressindo di platform Shopee. 
Pengiriman  
-Senin - sabtu ( minggu tidak ada pengiriman )

RESI UPD",6499392,180539,14443120000
